SKU *,Fixmer Reference,Full Name *,Brand *,Line,Vitola,Shape,Dimensions,Wrapper,Net Weight (g),Length (inches),Ring Gauge,Pack Type,Units/Pack,COGS,GTIN,EU CEG ID,Status *,Product Role *,Market Availability,Notes
e.g. NICLA6-MIN-B20,Fixmer article ref,Full product name,Brand name,Product line,Vitola name,"e.g. Round, Pointed, Figurado",e.g. 5.0 x 52,Wrapper type,Net weight per unit (g),Length in inches,Ring gauge,"e.g. Box, Bndl, Pack",Units per pack,Cost of goods sold,Barcode (GTIN),EU CEG registration ID,active / inactive,original / sample / foc,"e.g. EU, NO, CH",Internal notes
DH-ROB-P5,C01358,DH Cigar Sampler Robusto Pack5,DH Cigar Sampler,Clasico,Robusto Pack5,Round, x ,Misc.,14.74,,,Pack,5, 2.02 ,5404021001919,Pack of 5 elements,inactive,original,,
FUR-ALE-B10,C00592,Furia Alecto B10,Furia,Clasico,Alecto B10,Round,4.5 x 56,Hab. Equador,15.36,4.5,56,Box,10, 3.24 ,5404021001469,00903-17-03201,active,original,,
FUR-MEG-B10,C00591,Furia Megaera B10,Furia,Clasico,Megaera B10,Round,5.5 x 54,Hab. Equador,16.58,5.5,54,Box,10, 3.13 ,5404021001490,00903-17-03202,active,original,,
FURBL-INA-B10,C01271,Furia Reserva Inanna1 B10,Furia,Reserva,Inanna1 B10,Round,6 x 48,Hab.,14.9,6,48,Box,10, 3.17 ,5404021007904,00903-23-03001,active,original,,
FURBL-INA-S2-B10,C01364,Furia Reserva Inanna2 B10,Furia,Reserva,Inanna2 B10,Round,6 x 48,Hab.,14.9,6,48,Box,10, 5.02 ,5404021008413,00903-23-03001,active,original,,
FUR-TIS-B10,C00599,Furia Tisiphone B10,Furia,Clasico,Tisiphone B10,Round,6.5 x 58,Hab. Equador,22.6,6.5,58,Box,10, 3.53 ,5404021001520,00903-17-03203,active,original,,
LL-CAN-B21,C00608,La Ley Canonazo B21,La Ley,Clasico,Canonazo B21,Round,6.5 x 52,Hab. Rosado,18.27,6.5,52,Box,21, 3.20 ,5404021001292,00903-16-02103,active,original,,
LL-CAN-M21,C01822,La Ley Canonazo Bndl21,La Ley,Clasico,Canonazo Bndl21,Round,6.5 x 52,Hab. Rosado,18.27,6.5,52,Bndl,21, 2.92 ,5404021008079,00903-16-02103,active,original,,
LL-MAR-B21,C00298,La Ley Mareva B21,La Ley,Clasico,Mareva B21,Round,4 x 44,Hab. Rosado,8.69,4,44,Box,21, 2.62 ,5404021001216,00903-16-02101,active,original,,
LL-MAR-M21,C01750,La Ley Mareva Bndl21,La Ley,Clasico,Mareva Bndl21,Round,4 x 44,Hab. Rosado,8.69,4,44,Bndl,21, 2.33 ,5404021008055,00903-16-02101,active,original,,
LLRES-CG-B21,C01824,La Ley Reserva Corona Gorda B21,La Ley,Reserva,Corona Gorda B21,Round,5.5 x 46,F2,11.74,5.5,46,Box,21, 3.15 ,5404021008123,00903-17-02003,active,original,,
LLRES-EXQ-B21,C00830,La Ley Reserva Exquisito B21,La Ley,Reserva,Exquisito B21,Round,4.875 x 48,Hab. Oscuro,12.35,4.875,48,Box,21, 3.49 ,5404021008185,00903-17-02001,active,original,,
LLRES-LAG6-B21,C00843,La Ley Reserva Laguito 6 B21,La Ley,Reserva,Laguito 6 B21,Round,6.5 x 56,Hab. Oscuro,21.86,6.5,56,Box,21, 3.71 ,5404021008215,00903-17-02002,active,original,,
LL-ROB-B21,C00299,La Ley Robusto B21,La Ley,Clasico,Robusto B21,Round,5 x 54,Hab. Rosado,16.08,5,54,Box,21, 2.92 ,5404021001254,00903-16-02102,active,original,,
LL-ROB-M21,C01821,La Ley Robusto Bndl21,La Ley,Clasico,Robusto Bndl21,Round,5 x 54,Hab. Rosado,16.08,5,54,Bndl,21, 2.64 ,5404021008062,00903-16-02102,active,original,,
LL-MAR-M10,C01327,Mareva Bndl10,La Ley,Clasico,Mareva,Round,4 x 44,Hab. Rosado,8.69,4,44,Box,10, 2.33 ,5404021002909,00903-16-02101,active,original,,
LP-452-B16,C00845,La Preferida 452 B16,La Preferida,Clasico,452 B16,Round,4 x 52,Hab.,11.56,4,52,Box,16, 2.53 ,5404021001377,00903-17-04101,active,original,,
LP-452-M10,C01743,La Preferida 452 Bndl10,La Preferida,Clasico,452 Bndl10,Round,4 x 52,Hab.,11.56,4,52,Bndl,10, 2.18 ,5404021001384,00903-17-04101,active,original,,
LP-452-M16,C01742,La Preferida 452 Bndl16,La Preferida,Clasico,452 Bndl16,Round,4 x 52,Hab.,11.56,4,52,Bndl,16, 2.18 ,5404021007966,00903-17-04101,active,original,,
